Q_Number,Accuracy,Adjusted_Rand_Score,Silhouette_Score,Total_Classes,Final_Labels_File,Mapping_File
Q001,0.6070312652567031,0.3089504140715548,0.14324345475580785,4,Q001_final_lithology_map.npz,Q001_lithology_mapping.csv
Q002,0.5677016814107446,0.1035977493029367,0.03722791220853382,4,Q002_final_lithology_map.npz,Q002_lithology_mapping.csv
Q003,0.44900208955806825,0.036922211598455275,0.2429743574258755,4,Q003_final_lithology_map.npz,Q003_lithology_mapping.csv
Q004,0.6077811627316578,0.3569822766202424,0.1945923220049213,5,Q004_final_lithology_map.npz,Q004_lithology_mapping.csv
Q005,0.542412170211104,0.27670234724810006,0.15001033603391897,6,Q005_final_lithology_map.npz,Q005_lithology_mapping.csv
Q006,0.47987091608569143,0.127527803320636,0.05353890197570906,6,Q006_final_lithology_map.npz,Q006_lithology_mapping.csv
