model,global_gci,mean_local_gci,std_local_gci,mean_abs_correlation,std_abs_correlation,correlation_threshold,gci_median,vif_tmi,vif_gravity,vif_tmi_1vd,vif_gravity_1vd,zone_1_area_pct,zone_1_mean_corr,zone_1_mean_gci,zone_2_area_pct,zone_3_area_pct,zone_3_mean_corr,zone_3_mean_gci,zone_4_area_pct,zone_2_mean_corr,zone_2_mean_gci,zone_4_mean_corr,zone_4_mean_gci
Q001,0.5125,0.26527992,0.17739342,0.057156324313920606,0.17008680596654,0.23028309323591922,0.125,1.8020497961219442,1.8056678686340464,1.4263369652158155,1.3901179406649062,10.005077430820004,0.5226759468901727,0.34624153,0.0,89.99492256917999,0.0054027393729347015,0.25627923011779785,0.0,,,,
Q002,0.55,0.3468573,0.18239452,0.06912836287068538,0.19050867478884373,0.31180478223116187,0.5,8.836975166778394,8.426583427448715,1.2923772201247388,1.4256107028154075,7.621321303728005,0.6021623050349053,0.50092083,2.390981701720468,47.57718671275411,0.01294845709520814,0.502443790435791,42.41051028179741,0.576680453782925,0.16013798117637634,0.007749973004910742,0.15515750646591187
Q003,0.55,0.25150603,0.17450187,0.044062324212888845,0.15483298933549736,0.0,0.125,3.410653320939813,3.4255312039969317,1.131131274964344,1.1470351474295113,100.0,0.044062324212888845,0.25150603,0.0,0.0,,,0.0,,,,
Q004,0.6125,0.35250294,0.20065387,0.10244416792203305,0.23411835866032213,0.5312223209408622,0.5,7.286575516436342,7.019598999772983,2.222617814028933,2.3952800865668427,9.55894701896225,0.7267237122586633,0.5378948,0.4410529810377487,44.352529927548964,0.05940562735020038,0.5264614820480347,45.64747007245103,0.7238678020596222,0.17689038813114166,0.0075283342508032985,0.14635363221168518
Q005,0.675,0.25059122,0.17314029,0.044394502301525335,0.16006598343466363,0.0,0.125,19.080857896004396,17.180525711200886,1.7169221939600217,2.531963469185304,100.0,0.044394502301525335,0.25059122,0.0,0.0,,,0.0,,,,
Q006,0.875,0.30029348,0.18342389,0.12744497787450956,0.25153263004370807,0.6011591171947752,0.125,2.0977468699295656,1.9720924774971282,2.516213890241247,2.5737486175500317,10.000585857402308,0.7504122483659986,0.46729192,0.0,89.99941414259769,0.05822188643270691,0.2817368805408478,0.0,,,,
