Q_Number,Accuracy,Adjusted_Rand_Score,Silhouette_Score,Total_Classes,Final_Labels_File,Mapping_File
Q001,0.6964760677251157,0.4200869331533051,0.1245106044078646,4,Q001_final_lithology_map.npz,Q001_lithology_mapping.csv
Q002,0.591223856113422,0.24069148043610036,0.07778827317463358,4,Q002_final_lithology_map.npz,Q002_lithology_mapping.csv
Q003,0.5234352725213349,0.1926674588964576,0.08367727605301373,4,Q003_final_lithology_map.npz,Q003_lithology_mapping.csv
Q004,0.6561788427363446,0.35531241152325854,0.18335772734505448,5,Q004_final_lithology_map.npz,Q004_lithology_mapping.csv
Q005,0.5905286386626828,0.3100663113410763,0.13216476460866233,6,Q005_final_lithology_map.npz,Q005_lithology_mapping.csv
Q006,0.49130197043372975,0.05227490628080286,0.08512280075541562,6,Q006_final_lithology_map.npz,Q006_lithology_mapping.csv
