Q_Number,Experiment,Overall_Accuracy,Lithology_Std_Devs,Cluster_Centers_PC1,Cluster_Centers_PC2,Lithology_1_Accuracy,Lithology_2_Accuracy,Lithology_3_Accuracy,Lithology_4_Accuracy,Lithology_5_Accuracy,Lithology_6_Accuracy,Lithology_7_Accuracy,Lithology_8_Accuracy,Lithology_9_Accuracy,Lithology_10_Accuracy,Lithology_11_Accuracy,Lithology_12_Accuracy,Lithology_13_Accuracy,Lithology_14_Accuracy,Lithology_15_Accuracy,Lithology_16_Accuracy,Lithology_17_Accuracy,Lithology_18_Accuracy,Lithology_19_Accuracy,Lithology_20_Accuracy
Q004,Raw,0.653372585779288,"[np.float64(0.5800368278139185), np.float64(1.0950950864833948), np.float64(0.825399025451526), np.float64(0.6040490208433668)]","[np.float64(-157.76991131683943), np.float64(-155.78664254442498), np.float64(-155.7069001757257), np.float64(-157.73243224019953), np.float64(-156.9344403467021), np.float64(-157.15792074271812), np.float64(-156.93538030286936), np.float64(-155.76506574750942), np.float64(-155.50623416484268), np.float64(-156.86946475672497), np.float64(-157.41491937604343), np.float64(-157.06974798486735), np.float64(-157.26104969304694), np.float64(-157.16263124164672), np.float64(-157.7430687484811), np.float64(-157.1769470624366), np.float64(-157.26384141698807), np.float64(-156.34702781800226), np.float64(-157.1423727325786), np.float64(-157.06209170815822), np.float64(-158.61209212660185), np.float64(-158.093745953734), np.float64(-157.89632606628192), np.float64(-157.79238573078268), np.float64(-157.5584331054869), np.float64(-157.23725035298017), np.float64(-157.18776861127725), np.float64(-156.48813706248552), np.float64(-158.41084293476854), np.float64(-158.23310508730503), np.float64(-158.0529675389656), np.float64(-157.69484574624815), np.float64(-157.34329357872565), np.float64(-157.28569856855017), np.float64(-157.01137390324587), np.float64(-158.695018767651), np.float64(-158.56668776945338), np.float64(-158.32001123239286), np.float64(-157.81383932086516), np.float64(-157.39580663685325), np.float64(-157.32174972452427), np.float64(-157.2513836357446), np.float64(-158.7942661157773), np.float64(-158.68201877363904), np.float64(-158.45552288741038), np.float64(-157.84166222504007), np.float64(-157.48821451926423), np.float64(-157.27416777712108), np.float64(-157.1832272951456)]","[np.float64(44.435531298953485), np.float64(44.540663313913406), np.float64(44.27239976437574), np.float64(44.37142862120395), np.float64(44.024768026492595), np.float64(43.830164740756324), np.float64(43.76358059760433), np.float64(44.661446103007755), np.float64(44.820305762788365), np.float64(43.955970313120375), np.float64(44.022809503357045), np.float64(43.76734993336209), np.float64(43.906575856222055), np.float64(44.64780169091353), np.float64(44.540493517500934), np.float64(44.7718086932881), np.float64(44.156549521371474), np.float64(44.614841007624186), np.float64(44.60930393705732), np.float64(44.20413231159376), np.float64(45.176597196631505), np.float64(45.038274967604174), np.float64(44.88543193908085), np.float64(44.75464564235536), np.float64(44.52998495245097), np.float64(44.41065398182531), np.float64(44.22709865660474), np.float64(44.33217380136621), np.float64(45.24270344306836), np.float64(45.121961693163385), np.float64(44.99705618754647), np.float64(44.73902306354658), np.float64(44.486071069363824), np.float64(44.2785396085912), np.float64(44.060783279037715), np.float64(45.4404389532757), np.float64(45.352064353522955), np.float64(45.17711239701609), np.float64(44.805697389989305), np.float64(44.360193744264194), np.float64(44.13057642640023), np.float64(43.91559934577372), np.float64(45.50876375433387), np.float64(45.42250926762753), np.float64(45.1487342424848), np.float64(44.69396058432629), np.float64(44.268220197926595), np.float64(44.087691584936515), np.float64(44.008960221300526)]",0.8709302681992337,0.4635370244928518,0.566004113371274,0.6051815565784473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q004,All Features,0.6116107172847463,"[np.float64(0.579934407536308), np.float64(1.0950963464261128), np.float64(0.8253731910316403), np.float64(0.6039555226827262)]","[np.float64(-224.56401323416344), np.float64(-224.37962537591054), np.float64(-223.58693368769391), np.float64(-222.95523722895166), np.float64(-220.37151816191377), np.float64(-222.1152760782982), np.float64(-222.5096476919357), np.float64(-224.42659331738076), np.float64(-224.1711014662429), np.float64(-223.7250512143209), np.float64(-223.21193627863482), np.float64(-222.77839478603858), np.float64(-222.73618781021906), np.float64(-222.61258485555794), np.float64(-224.28016947517278), np.float64(-224.01061415009528), np.float64(-223.5218640931572), np.float64(-223.01009855714088), np.float64(-222.08705787258626), np.float64(-222.06186720045324), np.float64(-221.6115040501515), np.float64(-223.63336905438643), np.float64(-223.10109986510443), np.float64(-222.9044811904507), np.float64(-222.7365966759935), np.float64(-222.2649540532417), np.float64(-222.98627942726844), np.float64(-222.9206263378622), np.float64(-222.20376123012437), np.float64(-222.2532352258471), np.float64(-222.37618537958926), np.float64(-221.92058137803696), np.float64(-222.4000334696302), np.float64(-222.02068329539117), np.float64(-222.05429021837804), np.float64(-222.14445896867102), np.float64(-222.21071085016746), np.float64(-222.25976250771618), np.float64(-222.43271223606516), np.float64(-222.55927836269828), np.float64(-222.5168593079039), np.float64(-222.06942003975817), np.float64(-221.42977944613202), np.float64(-222.1587435560642), np.float64(-222.35602080844282), np.float64(-222.34424687028198), np.float64(-222.51253712352928), np.float64(-222.53529812977735), np.float64(-221.48737654232204)]","[np.float64(64.36982154871437), np.float64(64.22472113199505), np.float64(63.67441824556023), np.float64(63.15395742758038), np.float64(63.209093332391774), np.float64(61.91203752099727), np.float64(62.17464988931075), np.float64(64.2744526568758), np.float64(64.05204668298782), np.float64(63.78547899270355), np.float64(63.42517638245048), np.float64(62.701614047983924), np.float64(62.462422586270094), np.float64(62.35193186410731), np.float64(64.1728380127464), np.float64(63.9061853541759), np.float64(63.62898011691654), np.float64(63.26418894520604), np.float64(62.22899047503632), np.float64(62.87364682453654), np.float64(62.82298454294991), np.float64(63.487361465568206), np.float64(62.97336573949473), np.float64(62.910131463757715), np.float64(62.60100963435061), np.float64(62.29679886265029), np.float64(63.015208672263206), np.float64(62.74429984656931), np.float64(62.054548485094905), np.float64(61.9982046322585), np.float64(62.09578139612456), np.float64(62.6353236801521), np.float64(62.756770252199296), np.float64(63.12527482634063), np.float64(62.66249416019035), np.float64(61.99114998175565), np.float64(61.98211071314899), np.float64(62.20674134595067), np.float64(62.633109530298164), np.float64(62.732765376354784), np.float64(62.786641615668806), np.float64(63.11408505810872), np.float64(62.04933309883761), np.float64(61.96325425760301), np.float64(62.335614163075405), np.float64(62.49947719343272), np.float64(62.76555275463696), np.float64(62.96578028473436), np.float64(62.987717450608315)]",0.8481348659003831,0.064980034938857,0.6288809376232602,0.7414409903415158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q004,PCA,0.6418595113949265,"[np.float64(0.763166890933249), np.float64(1.1197909423877634), np.float64(0.8678011530159848), np.float64(0.5552591894515782)]","[np.float64(-0.9520741418816945), np.float64(0.36681587763068296), np.float64(-0.06132217387899432), np.float64(-0.7017899734143652), np.float64(-0.6154780958613809), np.float64(-1.3172576265938438), np.float64(-1.3640255241079242), np.float64(0.21530051038510348), np.float64(-0.36246428241854844), np.float64(-0.5882847837701494), np.float64(-0.6408396667760698), np.float64(-1.291394949860052), np.float64(-1.707299773081788), np.float64(-1.7961696824784075), np.float64(-0.9101663772776432), np.float64(-0.7249816476726222), np.float64(-0.5971989540493089), np.float64(-0.6337150122362314), np.float64(-1.3380139353112697), np.float64(-1.7719720648648163), np.float64(-1.881368323409639), np.float64(-0.9825497505799814), np.float64(-0.8834902488892583), np.float64(-0.6274556565773595), np.float64(-0.5577066089890186), np.float64(-1.0401926096329641), np.float64(-1.6352732705561175), np.float64(-1.824289998758257), np.float64(-1.1772293201357669), np.float64(-1.1295916045401633), np.float64(-0.8057142947735264), np.float64(-0.7130524064268547), np.float64(-0.6878412564823496), np.float64(-0.8744050699187296), np.float64(-0.5993566770663987), np.float64(-1.4486630431906806), np.float64(-1.442072211020795), np.float64(-1.149435683340193), np.float64(-0.8754710422553734), np.float64(-0.6782319844704555), np.float64(-0.4437658176126626), np.float64(-0.3817257024405799), np.float64(-1.620721099030521), np.float64(-1.5424341770655043), np.float64(-1.1345813779907072), np.float64(-0.7180968279549026), np.float64(-0.6927106225848687), np.float64(-0.49851113113701073), np.float64(-0.4673470107723778)]","[np.float64(0.178679997821734), np.float64(-0.10690725654234011), np.float64(-0.472693179178339), np.float64(-0.17856606519703494), np.float64(0.2014045796017559), np.float64(1.1841074392559068), np.float64(1.2790410909832641), np.float64(0.15141102959053698), np.float64(-0.21571610537946226), np.float64(-0.5521745224031003), np.float64(-0.3707117450430936), np.float64(1.0215147512472842), np.float64(1.772117929961229), np.float64(1.8979753650550473), np.float64(0.43137112287405593), np.float64(-0.0069224318553187765), np.float64(-0.29436865764663966), np.float64(-0.009949730377461804), np.float64(1.230332067235801), np.float64(1.8635935612284424), np.float64(2.0186045456012662), np.float64(0.7370748871110752), np.float64(0.4097481013896488), np.float64(-0.10183028625586123), np.float64(-0.12234935206114156), np.float64(0.865199885529313), np.float64(1.665706128040521), np.float64(1.931129132751687), np.float64(1.0143096961046743), np.float64(0.9288730791491687), np.float64(0.30040063746871376), np.float64(0.22831521629310642), np.float64(0.30309990637661915), np.float64(0.29420639412929195), np.float64(-0.33470692989342593), np.float64(1.3373319352380044), np.float64(1.3900707278498794), np.float64(0.8833204827785228), np.float64(0.5164145612336106), np.float64(0.11889712519489652), np.float64(-0.6128689360744115), np.float64(-0.8923761170212281), np.float64(1.417606527437842), np.float64(1.51876141399607), np.float64(1.1586145543496187), np.float64(0.17425042850504066), np.float64(0.07916535226896113), np.float64(-0.38913351642882), np.float64(-0.7412815546453025)]",0.837744061302682,0.07885307854112446,0.57160365132135,0.8602506017700183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
