Q_Number,Experiment,Overall_Accuracy,Lithology_Std_Devs,Cluster_Centers_PC1,Cluster_Centers_PC2,Lithology_1_Accuracy,Lithology_2_Accuracy,Lithology_3_Accuracy,Lithology_4_Accuracy,Lithology_5_Accuracy,Lithology_6_Accuracy,Lithology_7_Accuracy,Lithology_8_Accuracy,Lithology_9_Accuracy,Lithology_10_Accuracy,Lithology_11_Accuracy,Lithology_12_Accuracy,Lithology_13_Accuracy,Lithology_14_Accuracy,Lithology_15_Accuracy,Lithology_16_Accuracy,Lithology_17_Accuracy,Lithology_18_Accuracy,Lithology_19_Accuracy,Lithology_20_Accuracy
Q002,Raw,0.6565186400296834,"[np.float64(0.6392667412930739), np.float64(0.442190063123467), np.float64(0.6179716271337274), np.float64(1.0186189403666397)]","[np.float64(-164.68537861711616), np.float64(-163.46049200611657), np.float64(-165.3554822962657), np.float64(-165.50195838542103), np.float64(-165.28529351372552), np.float64(-165.1202190710236), np.float64(-165.00110159846227), np.float64(-162.99961007794238), np.float64(-165.23271428580478), np.float64(-165.4863665609954), np.float64(-165.54363680218185), np.float64(-165.24221690047415), np.float64(-164.96064775171658), np.float64(-164.9105256586162), np.float64(-165.6366548049145), np.float64(-165.5340880359165), np.float64(-165.52410497824332), np.float64(-165.57170873815895), np.float64(-165.27438042608563), np.float64(-164.84412410135758), np.float64(-164.8492508865221), np.float64(-165.21758976919918), np.float64(-165.20015028381533), np.float64(-165.44123152875565), np.float64(-165.42024410812888), np.float64(-164.9401522698321), np.float64(-164.71322551279445), np.float64(-164.7723547506056), np.float64(-164.63435536963559), np.float64(-164.53143779879565), np.float64(-164.86431274611184), np.float64(-165.20948527551258), np.float64(-164.59958067191707), np.float64(-164.60466948971526), np.float64(-164.63872793927695), np.float64(-164.85712487855454), np.float64(-164.0254612172144), np.float64(-165.15678217618694), np.float64(-165.3673039503956), np.float64(-164.9101050368902), np.float64(-164.74932766190767), np.float64(-164.77635334024637), np.float64(-165.27842115016787), np.float64(-163.37267526710224), np.float64(-162.36508022143602), np.float64(-164.8941477993855), np.float64(-164.4300674431468), np.float64(-164.54755270924963), np.float64(-165.48493505805908)]","[np.float64(-13.928037564674566), np.float64(-13.951440381974487), np.float64(-14.129883863458494), np.float64(-13.948786013994603), np.float64(-13.583310656895536), np.float64(-13.210411734601635), np.float64(-13.038785811303928), np.float64(-13.645709209639438), np.float64(-14.29353118669938), np.float64(-14.210174793307694), np.float64(-14.035168033139707), np.float64(-13.503148443164827), np.float64(-12.905132195937574), np.float64(-12.75022396941832), np.float64(-14.544688928990809), np.float64(-14.437023815371516), np.float64(-14.31479590775206), np.float64(-14.143466345454346), np.float64(-13.697410364540744), np.float64(-12.732242253882237), np.float64(-12.656684342551312), np.float64(-14.091929847205488), np.float64(-14.133710189768042), np.float64(-14.235343240217519), np.float64(-14.112314188801834), np.float64(-13.460274072397013), np.float64(-12.874874716398718), np.float64(-12.7093454464797), np.float64(-13.91722459877945), np.float64(-13.43167641715532), np.float64(-13.845196506134679), np.float64(-13.879850925234098), np.float64(-13.264349644402378), np.float64(-13.091956407717447), np.float64(-12.940688629479242), np.float64(-14.08576650501056), np.float64(-13.477910052932236), np.float64(-14.051755427485267), np.float64(-13.777771161149591), np.float64(-13.544035137951784), np.float64(-13.3813033610516), np.float64(-13.410371608240313), np.float64(-13.06044187185422), np.float64(-13.347439939765167), np.float64(-13.318144240802628), np.float64(-13.970901702660253), np.float64(-13.731412256074268), np.float64(-14.175016540353585), np.float64(-14.061751658504019)]",0.2079655816013413,0.7325355841568586,0.2597674388186206,0.8922514634977338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q002,All Features,0.6367566934208214,"[np.float64(0.6391373405120254), np.float64(0.44209133477181234), np.float64(0.6179178174492888), np.float64(1.018608982074244)]","[np.float64(-233.4739954882125), np.float64(-233.29862078851573), np.float64(-233.1622371678683), np.float64(-233.81068661213624), np.float64(-233.83166735574295), np.float64(-234.05567839614815), np.float64(-234.12080695757527), np.float64(-233.2222808416996), np.float64(-233.2117845878299), np.float64(-233.27915187748897), np.float64(-233.65928175264818), np.float64(-233.98824397495602), np.float64(-234.11241800013616), np.float64(-234.00436084178406), np.float64(-233.03709406375395), np.float64(-233.13175825702277), np.float64(-233.05316680429752), np.float64(-233.04922047071497), np.float64(-233.27103272421144), np.float64(-233.7043685319858), np.float64(-232.1787077864445), np.float64(-232.94807639998368), np.float64(-233.02927131022983), np.float64(-232.84437190930066), np.float64(-232.77291927672255), np.float64(-232.68968683464718), np.float64(-232.63341622031004), np.float64(-233.2255884883787), np.float64(-232.37904105612785), np.float64(-233.02704522599325), np.float64(-232.99657516936992), np.float64(-233.08342548253506), np.float64(-233.21840674252178), np.float64(-233.98125008457015), np.float64(-234.0317544512172), np.float64(-233.98382743508927), np.float64(-233.35673852448699), np.float64(-233.16206975452468), np.float64(-233.9339514569861), np.float64(-234.089693788131), np.float64(-234.15899332062472), np.float64(-234.04048658162412), np.float64(-232.9483633859254), np.float64(-230.8011810176832), np.float64(-233.1613776939449), np.float64(-233.8782159142756), np.float64(-234.0798523704622), np.float64(-233.95960741502736), np.float64(-233.13006276170677)]","[np.float64(-18.622381549413426), np.float64(-18.389110766808805), np.float64(-18.807993295021273), np.float64(-19.4208796615146), np.float64(-19.94119896718606), np.float64(-20.30190528009277), np.float64(-20.42329593416716), np.float64(-18.123923861169768), np.float64(-18.030250530195758), np.float64(-18.328880563144804), np.float64(-19.072159020957418), np.float64(-19.93337503366987), np.float64(-20.237855308710877), np.float64(-20.282314459425656), np.float64(-17.970394465194545), np.float64(-17.907005124911823), np.float64(-18.104535081088095), np.float64(-18.6580309031653), np.float64(-19.330459267897705), np.float64(-20.053097245718142), np.float64(-19.908165202614097), np.float64(-18.031234202551495), np.float64(-18.026840653060553), np.float64(-18.305993216331473), np.float64(-18.559934873254665), np.float64(-18.882032747043827), np.float64(-19.218936703251536), np.float64(-19.74655432498415), np.float64(-18.635145684559625), np.float64(-18.68484943148792), np.float64(-18.510049634344746), np.float64(-18.982979682770246), np.float64(-19.346666148730314), np.float64(-19.876018325760946), np.float64(-19.89982296244376), np.float64(-20.336070908548784), np.float64(-19.614967628279572), np.float64(-19.679419662655228), np.float64(-19.958699621714665), np.float64(-19.94621068756317), np.float64(-20.00353768701994), np.float64(-20.073672669297014), np.float64(-20.69853416798106), np.float64(-19.52012881082773), np.float64(-20.20244678507324), np.float64(-19.976639463776532), np.float64(-19.76816730526778), np.float64(-19.87495651903621), np.float64(-19.840450717749686)]",0.043725285501882254,0.709891915034907,0.2405203196735249,0.9208420661387406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q002,PCA,0.662359638330697,"[np.float64(0.7188711111078152), np.float64(0.6423574055825484), np.float64(0.6293761225216312), np.float64(0.927981720628966)]","[np.float64(-0.4667618726167525), np.float64(0.7193974909497638), np.float64(-0.8923148448372176), np.float64(-1.125276938583829), np.float64(-1.0474154202000683), np.float64(-1.1431842012677884), np.float64(-0.47028742568608806), np.float64(1.4162039897970973), np.float64(0.352955129830123), np.float64(-1.0356296702905126), np.float64(-1.1181077550711243), np.float64(-1.0717593244014716), np.float64(-1.0595593418078437), np.float64(-0.9119594242714781), np.float64(-0.8398313827114182), np.float64(-0.6336621597960476), np.float64(-1.0105024780827607), np.float64(-1.0729680887511277), np.float64(-1.0751487463808036), np.float64(-1.1293171970243505), np.float64(-1.0497298186479878), np.float64(-0.47483549571328765), np.float64(-0.42585914417120335), np.float64(-0.7524709518288163), np.float64(-1.0397939252387316), np.float64(-0.7632543992773391), np.float64(-0.930931803019672), np.float64(-0.032448860290502674), np.float64(-0.5544655494162462), np.float64(-0.5334795134382613), np.float64(-0.8816577485279646), np.float64(-1.0808142962357106), np.float64(-0.9453485153094459), np.float64(-1.062227367901115), np.float64(0.15030929304814378), np.float64(-0.6485275845089257), np.float64(-0.7347232668078492), np.float64(-0.8614011798263337), np.float64(-1.0182537016795776), np.float64(-1.0571880495363317), np.float64(-1.097943472918906), np.float64(-0.8099232170015759), np.float64(-0.740944552750682), np.float64(-0.7182475736459365), np.float64(-0.7962033090840338), np.float64(-0.8879171336990214), np.float64(-0.8379350755630164), np.float64(-0.8363894919070611), np.float64(-1.172114254224897)]","[np.float64(0.45165686858788523), np.float64(0.014811340815399301), np.float64(-0.03365750545064575), np.float64(0.006874445032571288), np.float64(0.15020940481485226), np.float64(0.21629962576066455), np.float64(0.0892741595907293), np.float64(0.7828643475836601), np.float64(0.07043126654008265), np.float64(-0.03817068489284274), np.float64(-0.08716429432788493), np.float64(0.0001782118661860071), np.float64(0.386396868689399), np.float64(0.37413367858049607), np.float64(0.47106771476328196), np.float64(0.7981519543147124), np.float64(0.13429832570120995), np.float64(-0.028000183566752428), np.float64(0.10942556157747142), np.float64(0.39098393604911696), np.float64(0.9516401552546347), np.float64(1.9449165670978712), np.float64(1.5380161368898246), np.float64(0.9169529081703129), np.float64(0.25812982827405107), np.float64(0.234834416229041), np.float64(0.30634497173499037), np.float64(0.7149642765981093), np.float64(2.3616418387859692), np.float64(2.0715935402089056), np.float64(1.6600983311301787), np.float64(0.6932322534567316), np.float64(0.2676204489999674), np.float64(-0.19647788936530322), np.float64(0.020703043425292333), np.float64(2.7511738485242136), np.float64(2.5749302378571843), np.float64(2.0696504562600593), np.float64(1.0604398575551093), np.float64(0.160142858892342), np.float64(-0.36409495763406063), np.float64(-0.394764609186032), np.float64(2.97291010434144), np.float64(2.8404377883565406), np.float64(2.3699425486076398), np.float64(1.390396719494681), np.float64(0.45678492069732884), np.float64(-0.2854975219752433), np.float64(-0.19382579207556105)]",0.20578279712758218,0.7992476867021416,0.142721672138438,0.9107405763135343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
