Q_Number,Experiment,Overall_Accuracy,Lithology_Std_Devs,Cluster_Centers_PC1,Cluster_Centers_PC2,Lithology_1_Accuracy,Lithology_2_Accuracy,Lithology_3_Accuracy,Lithology_4_Accuracy,Lithology_5_Accuracy,Lithology_6_Accuracy,Lithology_7_Accuracy,Lithology_8_Accuracy,Lithology_9_Accuracy,Lithology_10_Accuracy,Lithology_11_Accuracy,Lithology_12_Accuracy,Lithology_13_Accuracy,Lithology_14_Accuracy,Lithology_15_Accuracy,Lithology_16_Accuracy,Lithology_17_Accuracy,Lithology_18_Accuracy,Lithology_19_Accuracy,Lithology_20_Accuracy
Q006,Raw,0.5514412092096783,"[np.float64(0.5031814613642875), np.float64(0.09945620674161518), np.float64(0.7752070297581013), np.float64(0.6427247702282438), np.float64(0.6220811707760115), np.float64(0.19366304405061185)]","[np.float64(-114.68441506974838), np.float64(-114.53410366091563), np.float64(-114.68218654155365), np.float64(-114.11944451169478), np.float64(-114.35253447232012), np.float64(-114.36365796625586), np.float64(-114.36377963372423), np.float64(-114.76398786535617), np.float64(-114.3793982010467), np.float64(-114.75483190391188), np.float64(-114.30658004604906), np.float64(-113.89168318506316), np.float64(-114.34775496341783), np.float64(-114.22550373160529), np.float64(-114.22097236951552), np.float64(-111.13980855549215), np.float64(-112.10196337085632), np.float64(-114.3269513500836), np.float64(-114.13399856030239), np.float64(-114.25291923295741), np.float64(-114.43723984729961), np.float64(-112.08444275154872), np.float64(-114.49038678750021), np.float64(-114.2170060146942), np.float64(-114.20919631409595), np.float64(-114.25154651170003), np.float64(-114.2779951335008), np.float64(-114.3029934784159), np.float64(-114.66504067233208), np.float64(-114.21416926191529), np.float64(-114.35027696184703), np.float64(-114.20951060720913), np.float64(-114.16591086417635), np.float64(-114.13101249108216), np.float64(-114.19430503268133), np.float64(-112.45565390587926), np.float64(-113.36547277062407), np.float64(-114.19992286881137), np.float64(-114.15410799330586), np.float64(-114.07073679498924), np.float64(-114.05415402260819), np.float64(-114.04725370035929), np.float64(-114.37688092127705), np.float64(-113.30959943835853), np.float64(-114.13807270163973), np.float64(-114.10820521842872), np.float64(-114.03014880386866), np.float64(-113.97816884015104), np.float64(-113.77915823659919)]","[np.float64(-18.518025502659807), np.float64(-18.313336493460675), np.float64(-18.37368569348899), np.float64(-18.606715055278958), np.float64(-19.481812722185), np.float64(-19.538710098660086), np.float64(-19.47331593140234), np.float64(-18.30218324037385), np.float64(-18.427824158945864), np.float64(-18.325856717420535), np.float64(-18.96893043582286), np.float64(-19.239628545532987), np.float64(-19.4629421798417), np.float64(-19.26087508654035), np.float64(-18.859661327321348), np.float64(-17.79201305221625), np.float64(-18.71756644200573), np.float64(-19.229166121403026), np.float64(-19.558400433887574), np.float64(-19.45581309430072), np.float64(-19.26499057645743), np.float64(-18.304095304638654), np.float64(-18.656830961266802), np.float64(-19.322200421116488), np.float64(-19.604288499792855), np.float64(-19.622267803325084), np.float64(-19.60160904452602), np.float64(-19.438209559842456), np.float64(-18.713179626225887), np.float64(-19.020724559334372), np.float64(-19.409427118735653), np.float64(-19.65350862424233), np.float64(-19.685456926304212), np.float64(-19.711680908836488), np.float64(-19.606746906400208), np.float64(-18.494036823476872), np.float64(-18.935058624003855), np.float64(-19.572691844669684), np.float64(-19.692062789120765), np.float64(-19.755865954843824), np.float64(-19.768053170994026), np.float64(-19.755540899490338), np.float64(-18.590231723805353), np.float64(-18.29488070111648), np.float64(-19.639961211541063), np.float64(-19.728283483689765), np.float64(-19.785656135739693), np.float64(-19.823777267896126), np.float64(-19.585881300963567)]",0.8440659398290319,0.2962453728186145,0.6513204682950475,0.04305885642387809,0.30475544963596213,0.7880253805262585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q006,All Features,0.5214755795106137,"[np.float64(0.5030122506752938), np.float64(0.09927727614363263), np.float64(0.775168725486385), np.float64(0.6426694941912098), np.float64(0.6220306072634438), np.float64(0.19351920966539643)]","[np.float64(-158.65816975615058), np.float64(-159.1755248345442), np.float64(-161.2200846340653), np.float64(-157.69536643405993), np.float64(-162.0836484730938), np.float64(-161.41100507142912), np.float64(-160.03455105135941), np.float64(-161.61795751750944), np.float64(-161.65675781501733), np.float64(-161.35395781473977), np.float64(-157.56349760137755), np.float64(-160.18619599209808), np.float64(-162.08409560630508), np.float64(-158.09893411622963), np.float64(-160.96781592075462), np.float64(-161.26078533141873), np.float64(-161.3004048002677), np.float64(-161.27121933155243), np.float64(-161.27117602138622), np.float64(-162.0415738713991), np.float64(-162.08034640802754), np.float64(-161.20386013625202), np.float64(-161.1937456789005), np.float64(-161.27753090607834), np.float64(-161.36619070805037), np.float64(-161.37773192979859), np.float64(-160.02012193831987), np.float64(-159.73966875369098), np.float64(-161.32905323332267), np.float64(-161.27012081463923), np.float64(-161.38227787492133), np.float64(-161.40837967713225), np.float64(-161.42174879832817), np.float64(-161.67175126188448), np.float64(-156.34990959988608), np.float64(-161.66440530208192), np.float64(-161.63735770608795), np.float64(-161.55039347166112), np.float64(-161.51507824828536), np.float64(-161.43426292300097), np.float64(-160.23575294766158), np.float64(-158.3536128399518), np.float64(-161.83800871132433), np.float64(-161.74098339219145), np.float64(-161.7038396388574), np.float64(-161.62102395962702), np.float64(-161.3728675395066), np.float64(-162.03465815101453), np.float64(-162.07733513663865)]","[np.float64(-25.22245559982177), np.float64(-26.425748311458992), np.float64(-25.825046668607108), np.float64(-24.86225177917356), np.float64(-25.822413290224564), np.float64(-26.27557664129851), np.float64(-25.316267045949623), np.float64(-26.076762312043012), np.float64(-26.951791384591736), np.float64(-27.41625271686952), np.float64(-25.64117376658463), np.float64(-25.57353731307555), np.float64(-26.516137348893412), np.float64(-25.65951954628194), np.float64(-27.235809758364894), np.float64(-27.9770691775504), np.float64(-27.953521641443114), np.float64(-27.901559011038238), np.float64(-26.828340126674103), np.float64(-26.35413345737193), np.float64(-26.048507888889343), np.float64(-27.989574670901746), np.float64(-28.031742034476068), np.float64(-27.970294803396595), np.float64(-27.905252481435014), np.float64(-27.797899730459402), np.float64(-26.260445144348985), np.float64(-26.03972987586682), np.float64(-27.9022732821159), np.float64(-27.963125293303417), np.float64(-27.892777989161758), np.float64(-27.874335843119713), np.float64(-27.86342619777739), np.float64(-26.771699665310596), np.float64(-25.366650570988252), np.float64(-27.411191245287103), np.float64(-27.514030891066305), np.float64(-27.756300117853453), np.float64(-27.796087191459794), np.float64(-27.786860505042593), np.float64(-26.181366030116685), np.float64(-24.87336304109104), np.float64(-27.25914562686663), np.float64(-27.406941823553744), np.float64(-27.63371527614492), np.float64(-27.718378603438495), np.float64(-27.616208211419963), np.float64(-26.196033265987094), np.float64(-26.27284126002614)]",0.9134787397078276,0.2497355896351137,0.6748627867446095,0.0006990074094785405,0.312206747272449,0.5132533330104259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q006,PCA,0.46724959478196343,"[np.float64(0.8102257785092903), np.float64(0.16025703513576278), np.float64(0.9398777658929056), np.float64(0.7514512557385065), np.float64(0.7464266530204906), np.float64(0.3868047584420555)]","[np.float64(-0.8493948376204852), np.float64(-0.7566868786101182), np.float64(-0.8613260577851327), np.float64(-0.47281177869272156), np.float64(-0.583777439391239), np.float64(-0.5305612239230437), np.float64(-0.5460149682182528), np.float64(-0.9294071055940918), np.float64(-0.6328638069584303), np.float64(-0.923196377462513), np.float64(-0.5363492039199457), np.float64(-0.21169204920671614), np.float64(-0.5202292744598528), np.float64(-0.2502373877909484), np.float64(-0.4704947601229003), np.float64(1.7687713329414279), np.float64(1.2278994193355428), np.float64(-0.6128464115703196), np.float64(-0.05871945799368951), np.float64(-0.3273548800052025), np.float64(-0.5795543916120188), np.float64(1.1008935241618754), np.float64(-0.7064292026375749), np.float64(-0.30494939560805023), np.float64(-0.3327935740114949), np.float64(-0.4089988830652118), np.float64(-0.45131346244634024), np.float64(-0.47771994729984296), np.float64(-0.822684315862493), np.float64(-0.32308027560141117), np.float64(-0.5035416762172156), np.float64(-0.4096939316875668), np.float64(-0.3862668593561692), np.float64(-0.39914097572278634), np.float64(-0.44696005116175297), np.float64(0.811850784389221), np.float64(0.1508770637160482), np.float64(-0.37773122212409976), np.float64(-0.3329550111126292), np.float64(-0.30558372534093925), np.float64(-0.26535344294421037), np.float64(-0.30080089995111586), np.float64(-0.6117439953676167), np.float64(-0.15485044464890713), np.float64(-0.3909703485432504), np.float64(-0.3221218657497316), np.float64(-0.27085923180620564), np.float64(-0.1998537145730255), np.float64(-0.2586567412565988)]","[np.float64(-0.12990149812724816), np.float64(0.4536019826151779), np.float64(0.3243527613985197), np.float64(-1.1981906693579056), np.float64(-2.8201482469099473), np.float64(-3.0062977540284805), np.float64(-2.7187941102628614), np.float64(0.5904797548693813), np.float64(0.007468120923429451), np.float64(0.5359698295015998), np.float64(-1.620298205352771), np.float64(-2.391931951898258), np.float64(-2.810020874978209), np.float64(-2.103851273966345), np.float64(-1.4166702176858212), np.float64(0.6604065033678187), np.float64(-1.8179959940468224), np.float64(-1.2964659420134843), np.float64(-2.7632032675865426), np.float64(-3.1631414075888737), np.float64(-2.417782551645164), np.float64(-0.5692450572760963), np.float64(-0.32970694676647405), np.float64(-3.2422685200804526), np.float64(-3.805558538561257), np.float64(-3.856068793070701), np.float64(-3.5493281352556836), np.float64(-3.220635778841958), np.float64(-0.7137784378654757), np.float64(-1.3888323195322834), np.float64(-3.5190911447373026), np.float64(-3.864438058983895), np.float64(-3.9460139674842605), np.float64(-3.8858151107333283), np.float64(-3.7332178109640215), np.float64(-1.0202459946414695), np.float64(-2.165819160889904), np.float64(-3.68029794256986), np.float64(-4.125655738253461), np.float64(-4.2195193384592296), np.float64(-4.355877051145429), np.float64(-4.235499234784669), np.float64(-0.5708759752710001), np.float64(-1.53523938822156), np.float64(-3.919275171093263), np.float64(-4.163495970325472), np.float64(-4.3373194792898895), np.float64(-4.578044752022851), np.float64(-4.378672097642062)]",0.9622809726649224,0.19569011105235326,0.6274337214531052,0.047830747005918266,0.284671054070009,0.23623506048460338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
