Q_Number,Experiment,Overall_Accuracy,Convergence_Rate,Lithology_1_Accuracy,Lithology_2_Accuracy,Lithology_3_Accuracy,Lithology_4_Accuracy,Lithology_5_Accuracy,Lithology_6_Accuracy,Lithology_7_Accuracy,Lithology_8_Accuracy,Lithology_9_Accuracy,Lithology_10_Accuracy,Lithology_11_Accuracy,Lithology_12_Accuracy,Lithology_13_Accuracy,Lithology_14_Accuracy,Lithology_15_Accuracy,Lithology_16_Accuracy,Lithology_17_Accuracy,Lithology_18_Accuracy,Lithology_19_Accuracy,Lithology_20_Accuracy
Q001,Raw,0.9554744268866945,0.305435780264417,0.929642565829377,0.9748064368503143,0.8983560781846069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q001,All Features,0.9186606416815061,0.4743052707637628,0.9054408154001692,0.980329864659516,0.8149481317003782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q001,PCA,0.9325793450881612,0.38764231452731074,0.8574320461112914,0.9730221491304805,0.0,0.0,0.8949609170432725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
