Q_Number,Experiment,Overall_Accuracy,Lithology_Std_Devs,Cluster_Centers_PC1,Cluster_Centers_PC2,Lithology_1_Accuracy,Lithology_2_Accuracy,Lithology_3_Accuracy,Lithology_4_Accuracy,Lithology_5_Accuracy,Lithology_6_Accuracy,Lithology_7_Accuracy,Lithology_8_Accuracy,Lithology_9_Accuracy,Lithology_10_Accuracy,Lithology_11_Accuracy,Lithology_12_Accuracy,Lithology_13_Accuracy,Lithology_14_Accuracy,Lithology_15_Accuracy,Lithology_16_Accuracy,Lithology_17_Accuracy,Lithology_18_Accuracy,Lithology_19_Accuracy,Lithology_20_Accuracy
Q005,Raw,0.6383883062862499,"[np.float64(0.23366811655044917), np.float64(0.31955361528132176), np.float64(0.669743282264591), np.float64(0.6018189067474569), np.float64(0.3773421444308055), np.float64(0.47584584379610173)]","[np.float64(-14.969058836051007), np.float64(-14.48448857822296), np.float64(-13.825809257207549), np.float64(-13.559853359938222), np.float64(-13.674833953349228), np.float64(-13.987900254245263), np.float64(-13.646576372393612), np.float64(-14.807209351180408), np.float64(-14.65450087540233), np.float64(-14.126243299913288), np.float64(-13.700729455332317), np.float64(-13.775310191447469), np.float64(-14.429901680956366), np.float64(-14.072640654648023), np.float64(-15.000195463354137), np.float64(-14.933849598865788), np.float64(-14.71983200219687), np.float64(-13.64439526804569), np.float64(-14.319553721551696), np.float64(-12.90873016036343), np.float64(-15.87336507456522), np.float64(-15.423104730054325), np.float64(-15.09892840834551), np.float64(-14.807129771629604), np.float64(-14.139453201097849), np.float64(-14.727274764604505), np.float64(-13.607952298415908), np.float64(-12.574934695828814), np.float64(-15.984585777887203), np.float64(-15.735825036064181), np.float64(-14.96770454777852), np.float64(-14.39363539206891), np.float64(-14.457445733581933), np.float64(-14.433996858053746), np.float64(-12.919344323787758), np.float64(-16.149128093234527), np.float64(-16.149858479181276), np.float64(-15.873610293793805), np.float64(-15.259151348797964), np.float64(-14.484848024420154), np.float64(-14.218062307058279), np.float64(-13.838137287658153), np.float64(-16.235871157592033), np.float64(-16.128911862584914), np.float64(-16.018563208139867), np.float64(-15.758776377516194), np.float64(-15.398943475679024), np.float64(-13.799619561259643), np.float64(-12.332126919139087)]","[np.float64(-185.46709995530426), np.float64(-185.507609297603), np.float64(-185.91565936692882), np.float64(-186.15465762201697), np.float64(-186.13255900030822), np.float64(-185.9622381171525), np.float64(-185.73334161959838), np.float64(-185.296994155475), np.float64(-185.343608075644), np.float64(-185.77546699045453), np.float64(-186.02577324380636), np.float64(-186.07166452896558), np.float64(-185.80532910301784), np.float64(-185.43648607404208), np.float64(-185.339371956649), np.float64(-185.28807384986675), np.float64(-185.45643526083168), np.float64(-185.6654557003191), np.float64(-185.4817765893066), np.float64(-185.9003966403776), np.float64(-186.2057488604132), np.float64(-185.56418387912842), np.float64(-185.39542418121619), np.float64(-185.50860696359325), np.float64(-185.65625703162843), np.float64(-185.63341045339723), np.float64(-185.53174983452985), np.float64(-185.30219029575977), np.float64(-185.85278939210937), np.float64(-185.7782552510369), np.float64(-185.65212361416732), np.float64(-185.68560690118656), np.float64(-185.52551696796914), np.float64(-185.50810740965503), np.float64(-185.2086878069486), np.float64(-185.82008063869242), np.float64(-185.69723085934535), np.float64(-185.3656247867665), np.float64(-185.38355088524236), np.float64(-185.67257042834547), np.float64(-186.0457014017337), np.float64(-186.7010530407198), np.float64(-185.65283177043892), np.float64(-185.51295299790095), np.float64(-185.28100263864656), np.float64(-185.17971522843234), np.float64(-185.2525501701816), np.float64(-185.445354969091), np.float64(-185.65419324053903)]",0.10832966769304594,0.6274421576479693,0.9515241334456398,0.0,0.33096876481260523,0.542388747393823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q005,All Features,0.5743882672290898,"[np.float64(0.23351657327868208), np.float64(0.31939364273040277), np.float64(0.6696544414921985), np.float64(0.6016707836675924), np.float64(0.3772249545427656), np.float64(0.47573106906563867)]","[np.float64(-22.49618075061274), np.float64(-22.164540337953486), np.float64(-19.774038794221337), np.float64(-19.132107717243393), np.float64(-19.261773574479097), np.float64(-19.6177981024526), np.float64(-19.066189877840575), np.float64(-22.910894110792317), np.float64(-22.77428765384129), np.float64(-21.265020820293753), np.float64(-19.351313439190367), np.float64(-19.183449860809432), np.float64(-19.485368502272852), np.float64(-20.487280337919543), np.float64(-22.93837257244845), np.float64(-22.763948984716286), np.float64(-21.3901348128069), np.float64(-19.389598537562865), np.float64(-19.40624481905276), np.float64(-19.933461291442807), np.float64(-20.556600450106103), np.float64(-22.62094172498664), np.float64(-22.303346472618262), np.float64(-21.50018605353242), np.float64(-20.78931504864038), np.float64(-20.165547592109924), np.float64(-20.741146734827815), np.float64(-20.663538313355613), np.float64(-21.924332643442682), np.float64(-21.594867308185723), np.float64(-21.269240661235592), np.float64(-20.710083716767606), np.float64(-20.489448935547177), np.float64(-20.17876502071843), np.float64(-20.03811419201509), np.float64(-21.205463250020575), np.float64(-20.9694864618084), np.float64(-20.834145005906002), np.float64(-20.214705601191437), np.float64(-20.27531941133805), np.float64(-20.074768449672817), np.float64(-19.814300921938592), np.float64(-20.234425485681406), np.float64(-20.631287673446632), np.float64(-19.567519456769872), np.float64(-19.584176627743965), np.float64(-20.389485105277252), np.float64(-20.3536023127504), np.float64(-20.069044508854628)]","[np.float64(-262.82593653155953), np.float64(-262.91141522236785), np.float64(-262.7339173063811), np.float64(-263.1357553286175), np.float64(-263.17885000822736), np.float64(-263.061916667212), np.float64(-263.20267314929623), np.float64(-262.6840241131668), np.float64(-262.79649878534553), np.float64(-262.8461205910953), np.float64(-263.2518234730046), np.float64(-263.2789867201518), np.float64(-263.12905269957037), np.float64(-262.69796833606426), np.float64(-262.4739502285304), np.float64(-262.36090430280944), np.float64(-262.5881328098202), np.float64(-263.07726798478114), np.float64(-263.1599792749278), np.float64(-262.8545598528749), np.float64(-262.24839640676475), np.float64(-261.9890762778543), np.float64(-261.8879399502911), np.float64(-262.1152631001947), np.float64(-262.6399288377353), np.float64(-263.0498468416656), np.float64(-262.57252216484255), np.float64(-262.43173217372737), np.float64(-261.93639570149816), np.float64(-262.0309864892563), np.float64(-262.25860082216263), np.float64(-262.36900261772166), np.float64(-262.42027306935506), np.float64(-262.56288159420797), np.float64(-262.67210973749417), np.float64(-262.0960716928535), np.float64(-262.04767422660024), np.float64(-262.1836673186552), np.float64(-262.48524686099597), np.float64(-262.63080262458806), np.float64(-262.57468417488104), np.float64(-262.678598567944), np.float64(-262.3462448853334), np.float64(-262.6226604936499), np.float64(-262.8560984369101), np.float64(-262.51380188403925), np.float64(-262.4634964349515), np.float64(-262.3451299884385), np.float64(-262.49657058958013)]",0.0,0.06510920528073001,0.9287927413078014,0.0,0.0,0.8841672086704394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q005,PCA,0.6354590192747085,"[np.float64(0.3450365458785256), np.float64(0.43075526621873816), np.float64(0.8347084047720645), np.float64(0.8163815781341375), np.float64(0.5947174058897904), np.float64(0.6630133930187568)]","[np.float64(-0.9795397398246376), np.float64(-0.9108070855764244), np.float64(-0.4501691213328509), np.float64(-0.0890857213364893), np.float64(0.003710548162680566), np.float64(-0.007369471512677333), np.float64(0.2376744111427728), np.float64(-0.9092531613674895), np.float64(-0.7520780806412882), np.float64(-0.5007767445965946), np.float64(-0.262659043096236), np.float64(-0.15891721747016513), np.float64(-0.5596103541102407), np.float64(-0.2114594326254027), np.float64(-1.404765628616124), np.float64(-1.1080415972171718), np.float64(-0.7111971131561472), np.float64(-0.016104821265789264), np.float64(-0.5663690510825503), np.float64(0.4275107124452811), np.float64(-1.6435849446871038), np.float64(-1.632786378963856), np.float64(-1.6672489948343199), np.float64(-0.8824485457411411), np.float64(-0.09949525004365346), np.float64(-0.7515429701708242), np.float64(0.18672416665827027), np.float64(0.9460823964024581), np.float64(-1.7622682681980937), np.float64(-1.8094932432198774), np.float64(-1.2382692035882625), np.float64(-0.2438533943225621), np.float64(-0.08571335936729359), np.float64(-0.306322641587662), np.float64(0.7598124705362231), np.float64(-1.8602653830969982), np.float64(-1.8070726692061272), np.float64(-1.5016988005511283), np.float64(-0.1461901230996915), np.float64(0.10800790452920882), np.float64(0.021142280882981836), np.float64(-0.04578754019245116), np.float64(-1.8060939423248608), np.float64(-1.7834213222824713), np.float64(-1.5726179543151808), np.float64(-0.41019910661047093), np.float64(-0.12915005222256887), np.float64(0.4608276546851543), np.float64(1.098206744967856)]","[np.float64(0.7722033822208728), np.float64(0.5698239674692597), np.float64(0.06320818526772921), np.float64(-0.46198434018907275), np.float64(-0.757383759942473), np.float64(-0.6265240516866535), np.float64(-0.1226462604170655), np.float64(0.9789306956822476), np.float64(0.9510053839177394), np.float64(0.4728006642386963), np.float64(-0.21880609812271493), np.float64(-0.582574893731368), np.float64(-0.2061973358936465), np.float64(0.6857528101330064), np.float64(1.203178138313985), np.float64(0.9779280611888752), np.float64(0.4679068829636242), np.float64(0.34128635038992117), np.float64(0.7273394671409331), np.float64(-0.13216144408459068), np.float64(-1.2384144904905054), np.float64(1.0089041156371237), np.float64(0.7671289144361197), np.float64(0.09748881090108448), np.float64(0.0444076447225051), np.float64(0.08903794734510162), np.float64(0.48254744278496975), np.float64(1.1068605260823325), np.float64(0.4467859657426506), np.float64(0.2767539058438043), np.float64(0.04731323848959308), np.float64(-0.34735498709377294), np.float64(-0.3363753157523405), np.float64(0.1647143919939468), np.float64(1.3513543030100788), np.float64(0.0812153398573093), np.float64(-0.10675772973141229), np.float64(-0.2644816770361395), np.float64(-0.7027444549396777), np.float64(-0.9547748334816962), np.float64(-1.0362661583461241), np.float64(-2.3372279971620458), np.float64(-0.24627282849695897), np.float64(-0.39845619933826176), np.float64(-0.4368460668689015), np.float64(-0.45827153433851964), np.float64(-0.6879899400235829), np.float64(0.08129610649665835), np.float64(0.26021305212418533)]",0.0,0.6360633903582581,0.9384439871629474,0.0,0.4373743482453703,0.5258733352379448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
