keep,drop,similarity
501,528,0.9886781021674171
19,169,0.9885742139463414
326,330,0.988536211108572
19,219,0.9884032255347084
1,129,0.9882969501432581
19,143,0.988211450814896
64,197,0.988194896973478
75,574,0.988088838414156
19,144,0.9880551821363569
64,212,0.9879788586286119
19,170,0.987978479388036
19,195,0.9877127204545755
1,177,0.9876593753797991
12,75,0.9874069830730519
42,305,0.9872994813485135
16,350,0.9872548516718705
5,74,0.9871937934887023
68,238,0.9870677133170314
19,230,0.9867523290100532
68,532,0.986677778022112
19,145,0.9864794269013727
488,511,0.9861329615784791
15,351,0.9860383738724974
19,267,0.9854055278417153
78,256,0.9851823541958991
64,68,0.9848450160159332
388,466,0.9843297398522572
514,559,0.9840888581594188
15,603,0.9840649213849884
488,510,0.9840368052565144
25,370,0.9839865846459391
20,64,0.9836122323401965
16,19,0.9835895407906704
5,588,0.9835037796641348
1,5,0.9834573579909393
417,440,0.9834111715230165
55,405,0.9833130299029664
55,429,0.9832957343130142
55,428,0.9832627313429487
1,61,0.9832363598909497
500,549,0.9832334630022225
55,431,0.9830596128174977
36,611,0.9830590800197847
55,430,0.9826211121352992
252,277,0.9822233993469305
1,36,0.9812515212492818
1,87,0.9811847584219459
1,62,0.9810609781492887
172,180,0.980911837943812
1,60,0.9808980588716472
200,533,0.9800348014698481
225,485,0.9790672869982511
25,69,0.9788963101765846
373,420,0.9786748855983008
281,395,0.978647560883499
17,97,0.9781746702055961
281,446,0.978079026501373
25,150,0.9778522129781074
213,214,0.977793181232482
72,106,0.9774454635155349
408,458,0.9769987807861569
116,122,0.9764902776395228
460,478,0.9764114226926488
1,126,0.9761986706564395
388,436,0.9756649266015147
41,432,0.9755525041085141
42,225,0.9754304091084601
47,250,0.9749181772441109
281,411,0.9742918101133474
392,441,0.9735376743269109
11,421,0.9725163792456344
437,471,0.972174941912977
461,530,0.9718625667208747
41,273,0.9711074379910195
20,47,0.9703537884293323
215,617,0.9701089587675888
388,515,0.9700625986705648
275,334,0.9696772501404238
13,39,0.9693652527091589
200,407,0.9689109487002264
83,175,0.9688551214244412
272,408,0.9685443617991479
124,385,0.967866364186108
280,355,0.967182203167967
15,274,0.9669056444867409
12,78,0.966723170860843
301,415,0.9661910115536136
375,445,0.9658693600404171
1,202,0.9658657157996299
388,391,0.9653957795565524
373,374,0.9653429228058817
41,128,0.9652849134178001
513,535,0.9651626733599776
270,275,0.9650224618674812
272,475,0.9647967773061908
400,589,0.9647763521103923
434,599,0.9645792215453459
16,105,0.9640501569338125
513,514,0.9639214785732131
322,360,0.9636732264434185
55,252,0.9636432006244833
42,501,0.9635082761863393
1,41,0.9633575017916175
12,16,0.9630370541065676
412,489,0.9623507242645558
433,583,0.9623423295664859
116,205,0.9620172280250049
412,438,0.9615220779565705
200,552,0.9614850751411579
279,392,0.9611640571939843
72,99,0.9600903002179733
326,462,0.96007821922794
434,494,0.9599695529600402
271,624,0.95970494316587
33,306,0.9588674191479268
388,463,0.9587923447967466
25,272,0.9582131026780135
281,400,0.9577416253447117
460,461,0.9575054076793724
310,621,0.9573151631899173
1,42,0.9568715673741646
1,308,0.9567687452057696
12,55,0.9562314004874372
1,398,0.9559814588506861
116,124,0.9558213436820904
279,389,0.9554826691885157
283,310,0.9539513673173463
201,460,0.9538114954363013
