keep,drop,similarity
2,33,0.7889362776497444
2,197,0.7888257777536793
2,403,0.788539661396078
2,269,0.7884578539752722
2,541,0.788456294636765
2,291,0.7883258008661523
2,455,0.7880733173802605
2,615,0.788001526498561
2,428,0.7879494135481708
2,564,0.7877898578966256
2,504,0.7876428868232803
2,503,0.7874890997952718
2,297,0.7874559490067542
2,346,0.7873631972994015
2,317,0.7872682193353736
2,169,0.786770420092272
2,481,0.7865583943007245
2,454,0.7865479321790023
2,429,0.7864721584377599
2,247,0.7864673598479129
2,529,0.7861840418345101
2,576,0.7861683307820193
2,554,0.7859236493223414
2,321,0.7855383555641418
2,245,0.7853034415696236
2,480,0.7851415709859906
2,345,0.7849060303931029
2,619,0.7845223719646375
2,505,0.7845204220918454
2,271,0.7845131530074245
2,477,0.7843547166180529
2,379,0.7842071498339892
2,272,0.7841900692232149
2,320,0.783905288465473
2,360,0.7829453862764542
2,452,0.78272427460487
2,225,0.7811753303435676
2,382,0.7807077254893119
2,404,0.7805437706689594
28,58,0.7801150647149246
2,221,0.7796118508950527
2,246,0.7782851023817818
2,478,0.7781273464977421
1,2,0.7767637781134532
28,417,0.7732683771098056
1,52,0.769540132047334
1,30,0.7617391952930572
5,28,0.7557885879886357
363,390,0.6528103633766187
363,365,0.6518088784871988
136,521,0.6517226210296826
136,468,0.6455482104556267
363,415,0.6414996124216997
363,466,0.6331915957822807
363,367,0.6329310447365728
171,363,0.6268876136510646
136,585,0.6037403157810872
136,558,0.5522414951633183
136,586,0.5518839965871725
128,136,0.5499058921973172
1,533,0.3998285881839725
257,582,0.3978265591016969
220,318,0.3969330211012665
549,573,0.39674306636938705
219,327,0.3965139997023345
128,202,0.39637684354008024
128,594,0.39637072489864666
219,590,0.3963050041954519
194,293,0.39600434395913625
244,488,0.39590315994325986
220,322,0.39578231808077025
151,607,0.3957617230620093
453,479,0.39553025609174497
281,458,0.3954299383819656
280,329,0.39540829870824123
220,244,0.3952683863595092
219,347,0.39520576548042
196,273,0.39483010646578187
243,298,0.39447468707961797
484,509,0.39421074278645474
251,381,0.3941962795009174
257,351,0.3934499444671811
178,196,0.3932501678350991
79,280,0.39317799739073245
55,128,0.39311192265739026
1,281,0.39293396770468647
79,151,0.3928451075355385
126,451,0.392836712899757
219,292,0.39257990565124884
243,294,0.392048746242442
55,532,0.39203142461006163
55,559,0.3917996686763201
220,267,0.3909292943585421
79,613,0.3908668470270008
146,219,0.3907847532591124
453,484,0.3898078271467463
55,587,0.38966840605742914
126,257,0.3886344822221758
220,243,0.38863201359415
194,220,0.3882256791032826
450,583,0.38800928745867047
194,500,0.38728823330569473
251,450,0.38702625203893165
126,549,0.38628832977326466
251,453,0.3848206997192105
146,178,0.38407267785929916
79,251,0.3839762368950127
1,55,0.38263727273451903
146,171,0.382112380219309
146,194,0.37876927145283146
146,621,0.3678682370584844
79,126,0.3665539283823035
